zip,locality,canton
3132,"Burgistein,Riggisberg,Rüeggisberg,Thurnen",BE
3144,"Köniz,Wald (BE)",BE
3145,"Köniz,Oberbalm,Wald (BE)",BE
3152,"Rüeggisberg,Rüschegg,Schwarzenburg",BE
3153,"Guggisberg,Rüschegg,Schwarzenburg",BE
3154,"Riggisberg,Rüeggisberg,Rüschegg,Schwarzenburg",BE
3155,"Riggisberg,Rüeggisberg,Rüschegg,Schwarzenburg",BE
3156,"Guggisberg,Rüschegg",BE
3157,"Guggisberg,Rüschegg,Schwarzenburg",BE
3172,"Bern,Köniz",BE
3173,"Bern,Köniz,Neuenegg",BE
3202,"Bern,Frauenkappelen,Mühleberg,Wohlen bei Bern",BE
3203,"Ferenbalm,Frauenkappelen,Mühleberg,Radelfingen,Wileroltigen,Wohlen bei Bern",BE
3204,"Bern,Frauenkappelen,Laupen,Mühleberg,Neuenegg",BE
3233,"Erlach,Gals,Gampelen,Ins,Tschugg",BE
3234,"Bielersee (BE),Brüttelen,Erlach,Ins,Lüscherz,Vinelz",BE
3235,"Bielersee (BE),Erlach,Gals,Tschugg,Twann-Tüscherz,Vinelz",BE
3237,"Brüttelen,Finsterhennen,Ins,Lüscherz,Müntschemier,Treiten",BE
3250,"Aarberg,Büetigen,Diessbach bei Büren,Grossaffoltern,Kappelen,Lyss,Seedorf (BE),Worben",BE
3252,"Jens,Kappelen,Lyss,Studen (BE),Worben",BE
3256,"Deisswil bei Münchenbuchsee,Iffwil,Jegenstorf,Rapperswil (BE),Schüpfen,Zuzwil (BE)",BE
3257,"Diessbach bei Büren,Grossaffoltern,Lyss,Rapperswil (BE),Schüpfen,Wengi",BE
3262,"Grossaffoltern,Lyss,Schüpfen,Seedorf (BE)",BE
3263,"Büetigen,Diessbach bei Büren,Dotzigen,Lyss,Schwadernau,Studen (BE)",BE
3266,"Aarberg,Grossaffoltern,Lyss,Schüpfen,Seedorf (BE)",BE
3267,"Aarberg,Meikirch,Schüpfen,Seedorf (BE)",BE
3268,"Aarberg,Meikirch,Radelfingen,Seedorf (BE),Wohlen bei Bern",BE
3270,"Aarberg,Bargen (BE),Kappelen,Lyss,Radelfingen,Seedorf (BE)",BE
3271,"Bargen (BE),Kallnach,Radelfingen,Seedorf (BE)",BE
3272,"Bargen (BE),Bühl,Epsach,Hagneck,Hermrigen,Kappelen,Mörigen,Siselen,Täuffelen,Walperswil",BE
3273,"Aarberg,Bargen (BE),Bühl,Hermrigen,Jens,Kappelen,Lyss,Merzligen,Walperswil,Worben",BE
3274,"Bellmund,Bühl,Epsach,Hermrigen,Jens,Kappelen,Merzligen,Mörigen,Sutz-Lattrigen,Walperswil",BE
3282,"Aarberg,Bargen (BE),Kallnach,Radelfingen,Siselen,Walperswil",BE
3292,"Büetigen,Lyss,Studen (BE),Worben",BE
3293,"Büetigen,Büren an der Aare,Diessbach bei Büren,Dotzigen,Meienried,Schwadernau",BE
3302,"Bolligen,Ittigen,Moosseedorf,Münchenbuchsee,Urtenen-Schönbühl,Wiggiswil",BE
3303,"Deisswil bei Münchenbuchsee,Fraubrunnen,Hindelbank,Iffwil,Jegenstorf,Kernenried,Mattstetten,Rapperswil (BE),Urtenen-Schönbühl,Wiggiswil,Zuzwil (BE)",BE
3308,"Fraubrunnen,Iffwil,Jegenstorf",BE
3309,"Fraubrunnen,Hindelbank,Jegenstorf,Kernenried,Lyssach",BE
3312,"Aefligen,Fraubrunnen,Kernenried,Lyssach,Rüdtligen-Alchenflüh",BE
3313,Fraubrunnen,BE
3314,"Aefligen,Bätterkinden,Fraubrunnen",BE
3322,"Bäriswil,Bolligen,Hindelbank,Jegenstorf,Krauchthal,Mattstetten,Moosseedorf,Urtenen-Schönbühl,Wiggiswil",BE
3323,"Bäriswil,Hindelbank,Krauchthal,Mattstetten",BE
3324,"Bäriswil,Burgdorf,Hindelbank,Jegenstorf,Kernenried,Krauchthal,Lyssach,Mattstetten,Rüti bei Lyssach",BE
3325,"Bäriswil,Burgdorf,Hindelbank,Krauchthal",BE
3326,"Bäriswil,Bolligen,Krauchthal,Lützelflüh,Mattstetten,Oberburg,Vechigen",BE
3360,"Bettenhausen,Graben,Heimenhausen,Herzogenbuchsee,Niederönz,Thörigen,Thunstetten",BE
3367,"Bettenhausen,Bleienbach,Herzogenbuchsee,Madiswil,Ochlenberg,Rütschelen,Thörigen,Thunstetten,Ursenbach",BE
3368,"Bleienbach,Langenthal,Lotzwil,Ochlenberg,Rütschelen,Thörigen,Thunstetten",BE
3372,"Heimenhausen,Herzogenbuchsee,Niederönz",BE
3373,"Berken,Graben,Heimenhausen,Herzogenbuchsee,Inkwil,Niederönz,Walliswil bei Wangen,Wangen an der Aare",BE
3376,"Aarwangen,Bannwil,Berken,Graben,Heimenhausen,Herzogenbuchsee,Thunstetten,Walliswil bei Wangen",BE
3377,"Berken,Heimenhausen,Walliswil bei Wangen,Wangen an der Aare",BE
3400,"Burgdorf,Heimiswil,Hindelbank,Kirchberg (BE),Krauchthal,Lyssach,Oberburg,Rüti bei Lyssach,Wynigen",BE
3412,"Burgdorf,Heimiswil,Rüegsau",BE
3413,"Affoltern im Emmental,Burgdorf,Heimiswil,Wynigen",BE
3414,"Burgdorf,Hasle bei Burgdorf,Heimiswil,Krauchthal,Lützelflüh,Oberburg,Vechigen",BE
