zip,url,price_chf,rooms,area_m2,canton
2516,https://www.homegate.ch/louer/4002749175,1350.0,3.5,65.0,BE
2516,https://www.homegate.ch/louer/4002744338,1980.0,3.5,69.0,BE
2516,https://www.homegate.ch/louer/4002744209,1290.0,2.5,44.0,BE
2516,https://www.homegate.ch/louer/4001495431,4210.0,7.5,184.0,BE
2516,https://www.homegate.ch/louer/4002599744,1700.0,2.5,111.0,BE
2516,https://www.homegate.ch/louer/4002730247,2470.0,3.5,80.0,BE
2516,https://www.homegate.ch/louer/4002730250,1280.0,2.5,57.0,BE
2516,https://www.homegate.ch/louer/4002730249,1270.0,2.5,57.0,BE
2516,https://www.homegate.ch/louer/4002730248,1330.0,2.5,57.0,BE
2516,https://www.homegate.ch/louer/4002707305,1280.0,2.5,,BE
2516,https://www.homegate.ch/louer/4002524692,1775.0,3.0,67.0,BE
2516,https://www.homegate.ch/louer/4002689713,1170.0,3.0,66.0,BE
2516,https://www.homegate.ch/louer/4002472117,1040.0,2.0,50.0,BE
2516,https://www.homegate.ch/louer/4002516936,1770.0,3.5,79.0,BE
2516,https://www.homegate.ch/louer/4002729325,1225.0,2.5,61.0,BE
2516,https://www.homegate.ch/louer/4002677541,1390.0,2.0,,BE
2516,https://www.homegate.ch/louer/4001853355,1995.0,3.5,88.0,BE
2516,https://www.homegate.ch/louer/4002750253,1850.0,3.5,92.0,BE
2516,https://www.homegate.ch/louer/4002703290,2400.0,4.5,166.0,BE
2517,https://www.homegate.ch/louer/4002710603,800.0,2.5,,BE
2517,https://www.homegate.ch/louer/4002520888,1200.0,2.5,60.0,BE
2517,https://www.homegate.ch/louer/4002744210,3090.0,4.5,108.0,BE
2517,https://www.homegate.ch/louer/4002744338,1980.0,3.5,69.0,BE
2517,https://www.homegate.ch/louer/4002744209,1290.0,2.5,44.0,BE
2517,https://www.homegate.ch/louer/4001495431,4210.0,7.5,184.0,BE
2517,https://www.homegate.ch/louer/4002599744,1700.0,2.5,111.0,BE
2517,https://www.homegate.ch/louer/4002730247,2470.0,3.5,80.0,BE
2517,https://www.homegate.ch/louer/4002730250,1280.0,2.5,57.0,BE
2517,https://www.homegate.ch/louer/4002730249,1270.0,2.5,57.0,BE
2517,https://www.homegate.ch/louer/4002730248,1330.0,2.5,57.0,BE
2517,https://www.homegate.ch/louer/4002707305,1280.0,2.5,,BE
2517,https://www.homegate.ch/louer/4002524692,1775.0,3.0,67.0,BE
2517,https://www.homegate.ch/louer/4002689713,1170.0,3.0,66.0,BE
2517,https://www.homegate.ch/louer/4002472117,1040.0,2.0,50.0,BE
2517,https://www.homegate.ch/louer/4002729325,1225.0,2.5,61.0,BE
2517,https://www.homegate.ch/louer/4002677541,1390.0,2.0,,BE
2517,https://www.homegate.ch/louer/4002703290,2400.0,4.5,166.0,BE
2517,https://www.homegate.ch/louer/4002295127,1440.0,3.5,,BE
2517,https://www.homegate.ch/louer/4002746329,2750.0,5.5,,BE
2517,https://www.homegate.ch/louer/4002716430,1450.0,4.0,84.0,BE
2517,https://www.homegate.ch/louer/4002658797,1390.0,1.0,,BE
2532,https://www.homegate.ch/louer/4002744210,3090.0,4.5,108.0,BE
2532,https://www.homegate.ch/louer/4002749175,1350.0,3.5,65.0,BE
2532,https://www.homegate.ch/louer/4002744338,1980.0,3.5,69.0,BE
2532,https://www.homegate.ch/louer/4002744209,1290.0,2.5,44.0,BE
2532,https://www.homegate.ch/louer/4001495431,4210.0,7.5,184.0,BE
2532,https://www.homegate.ch/louer/4002599744,1700.0,2.5,111.0,BE
2532,https://www.homegate.ch/louer/4002707305,1280.0,2.5,,BE
2532,https://www.homegate.ch/louer/4002524692,1775.0,3.0,67.0,BE
2532,https://www.homegate.ch/louer/4002689713,1170.0,3.0,66.0,BE
2532,https://www.homegate.ch/louer/4002472117,1040.0,2.0,50.0,BE
2532,https://www.homegate.ch/louer/4002516936,1770.0,3.5,79.0,BE
2532,https://www.homegate.ch/louer/4002729325,1225.0,2.5,61.0,BE
2532,https://www.homegate.ch/louer/4002677541,1390.0,2.0,,BE
2532,https://www.homegate.ch/louer/4001853355,1995.0,3.5,88.0,BE
2532,https://www.homegate.ch/louer/4002750253,1850.0,3.5,92.0,BE
2532,https://www.homegate.ch/louer/4002697461,1600.0,3.5,71.0,BE
2532,https://www.homegate.ch/louer/4002686542,2460.0,5.5,160.0,BE
2532,https://www.homegate.ch/louer/4002295127,1440.0,3.5,,BE
2532,https://www.homegate.ch/louer/4002750265,1780.0,3.5,82.0,BE
2532,https://www.homegate.ch/louer/4002746329,2750.0,5.5,,BE
2533,https://www.homegate.ch/louer/4002627407,1900.0,3.0,89.0,BE
2533,https://www.homegate.ch/louer/4002730102,1190.0,3.0,,BE
2533,https://www.homegate.ch/louer/4002690328,1940.0,4.5,101.0,BE
2533,https://www.homegate.ch/louer/4002683330,1050.0,2.5,,BE
2533,https://www.homegate.ch/louer/4002432763,1850.0,4.5,,BE
2533,https://www.homegate.ch/louer/4002706853,2450.0,4.5,145.0,BE
2534,https://www.homegate.ch/louer/4002509337,1720.0,4.5,95.0,BE
2534,https://www.homegate.ch/louer/4002744210,3090.0,4.5,108.0,BE
2534,https://www.homegate.ch/louer/4002749175,1350.0,3.5,65.0,BE
2534,https://www.homegate.ch/louer/4002744338,1980.0,3.5,69.0,BE
2534,https://www.homegate.ch/louer/4002744209,1290.0,2.5,44.0,BE
2534,https://www.homegate.ch/louer/4001495431,4210.0,7.5,184.0,BE
2534,https://www.homegate.ch/louer/4002599744,1700.0,2.5,111.0,BE
2534,https://www.homegate.ch/louer/4002730247,2470.0,3.5,80.0,BE
2534,https://www.homegate.ch/louer/4002730250,1280.0,2.5,57.0,BE
2534,https://www.homegate.ch/louer/4002730249,1270.0,2.5,57.0,BE
2534,https://www.homegate.ch/louer/4002730248,1330.0,2.5,57.0,BE
2534,https://www.homegate.ch/louer/4002707305,1280.0,2.5,,BE
2534,https://www.homegate.ch/louer/4002524692,1775.0,3.0,67.0,BE
2534,https://www.homegate.ch/louer/4002689713,1170.0,3.0,66.0,BE
2534,https://www.homegate.ch/louer/4002472117,1040.0,2.0,50.0,BE
2534,https://www.homegate.ch/louer/4002516936,1770.0,3.5,79.0,BE
2534,https://www.homegate.ch/louer/4002673185,1840.0,3.5,119.0,BE
2534,https://www.homegate.ch/louer/4002729325,1225.0,2.5,61.0,BE
2534,https://www.homegate.ch/louer/4002677541,1390.0,2.0,,BE
2534,https://www.homegate.ch/louer/4001853355,1995.0,3.5,88.0,BE
2534,https://www.homegate.ch/louer/4002750253,1850.0,3.5,92.0,BE
2535,https://www.homegate.ch/louer/4002481101,1580.0,4.5,100.0,BE
2535,https://www.homegate.ch/louer/4002024608,1210.0,3.5,,BE
2535,https://www.homegate.ch/louer/4002024607,1240.0,4.5,,BE
2535,https://www.homegate.ch/louer/4002744210,3090.0,4.5,108.0,BE
2535,https://www.homegate.ch/louer/4002749175,1350.0,3.5,65.0,BE
2535,https://www.homegate.ch/louer/4002744338,1980.0,3.5,69.0,BE
2535,https://www.homegate.ch/louer/4002744209,1290.0,2.5,44.0,BE
2535,https://www.homegate.ch/louer/4001495431,4210.0,7.5,184.0,BE
2535,https://www.homegate.ch/louer/4002599744,1700.0,2.5,111.0,BE
2535,https://www.homegate.ch/louer/4002707305,1280.0,2.5,,BE
2535,https://www.homegate.ch/louer/4002524692,1775.0,3.0,67.0,BE
2535,https://www.homegate.ch/louer/4002689713,1170.0,3.0,66.0,BE
2535,https://www.homegate.ch/louer/4002472117,1040.0,2.0,50.0,BE
2535,https://www.homegate.ch/louer/4002516936,1770.0,3.5,79.0,BE
2535,https://www.homegate.ch/louer/4002673185,1840.0,3.5,119.0,BE
2535,https://www.homegate.ch/louer/4002729325,1225.0,2.5,61.0,BE
2535,https://www.homegate.ch/louer/4002677541,1390.0,2.0,,BE
2535,https://www.homegate.ch/louer/4001853355,1995.0,3.5,88.0,BE
2535,https://www.homegate.ch/louer/4002750253,1850.0,3.5,92.0,BE
2535,https://www.homegate.ch/louer/4002295127,1440.0,3.5,,BE
2535,https://www.homegate.ch/louer/4002750265,1780.0,3.5,82.0,BE
2535,https://www.homegate.ch/louer/4002746329,2750.0,5.5,,BE
2535,https://www.homegate.ch/louer/4002716430,1450.0,4.0,84.0,BE
2536,https://www.homegate.ch/louer/4002687456,435.0,1.0,,BE
2536,https://www.homegate.ch/louer/4002744210,3090.0,4.5,108.0,BE
2536,https://www.homegate.ch/louer/4002749175,1350.0,3.5,65.0,BE
2536,https://www.homegate.ch/louer/4002744338,1980.0,3.5,69.0,BE
2536,https://www.homegate.ch/louer/4002744209,1290.0,2.5,44.0,BE
2536,https://www.homegate.ch/louer/4001495431,4210.0,7.5,184.0,BE
2536,https://www.homegate.ch/louer/4002599744,1700.0,2.5,111.0,BE
2536,https://www.homegate.ch/louer/4002598262,2150.0,3.5,96.0,BE
2536,https://www.homegate.ch/louer/4002707305,1280.0,2.5,,BE
2536,https://www.homegate.ch/louer/4002720396,1715.0,3.5,76.0,BE
2536,https://www.homegate.ch/louer/4002720360,2220.0,4.5,90.0,BE
2536,https://www.homegate.ch/louer/4002720348,2220.0,4.5,90.0,BE
2536,https://www.homegate.ch/louer/4002720435,1100.0,1.0,34.0,BE
2536,https://www.homegate.ch/louer/4002720433,1100.0,1.0,34.0,BE
2536,https://www.homegate.ch/louer/4002720432,1100.0,1.0,34.0,BE
2536,https://www.homegate.ch/louer/4002720408,1100.0,1.0,26.0,BE
